
id,name,value1,value2,date
1,Item1,42,7.8,2023-01-15
2,Item2,15,3.2,2023-02-20
3,Item3,28,9.1,2023-03-10
4,Item4,36,5.4,2023-04-05
5,Item5,19,8.3,2023-05-12
6,Item6,50,2.7,2023-06-18
7,Item7,23,6.9,2023-07-22
8,Item8,45,1.5,2023-08-30
9,Item9,12,4.6,2023-09-14
10,Item10,31,7.2,2023-10-25
11,Item11,27,3.8,2023-11-05
12,Item12,38,5.1,2023-12-10
13,Item13,22,9.7,2024-01-15
14,Item14,41,2.3,2024-02-20
15,Item15,17,6.5,2024-03-08
16,Item16,29,8.9,2024-04-12
17,Item17,48,1.2,2024-05-19
18,Item18,14,4.4,2024-06-23
19,Item19,33,7.6,2024-07-30
20,Item20,25,3.9,2024-08-14
21,Item21,39,5.8,2024-09-20
22,Item22,20,9.3,2024-10-25
23,Item23,47,2.1,2024-11-30
24,Item24,16,6.7,2024-12-05
25,Item25,30,8.4,2025-01-10
26,Item26,43,1.9,2025-02-15
27,Item27,18,4.3,2025-03-20
28,Item28,35,7.1,2025-04-25
29,Item29,24,3.5,2025-05-30
30,Item30,49,5.9,2025-06-05
31,Item31,21,9.5,2025-07-10
32,Item32,37,2.8,2025-08-15
33,Item33,13,6.3,2025-09-20
34,Item34,32,8.7,2025-10-25
35,Item35,26,1.4,2025-11-30
36,Item36,44,4.9,2025-12-05
37,Item37,11,7.3,2026-01-10
38,Item38,34,3.6,2026-02-15
39,Item39,40,5.2,2026-03-20
40,Item40,10,9.8,2026-04-25
41,Item41,46,2.5,2026-05-30
42,Item42,15,6.8,2026-06-05
43,Item43,28,8.2,2026-07-10
44,Item44,42,1.7,2026-08-15
45,Item45,19,4.1,2026-09-20
46,Item46,31,7.9,2026-10-25
47,Item47,23,3.4,2026-11-30
48,Item48,38,5.6,2026-12-05
49,Item49,14,9.2,2027-01-10
50,Item50,29,2.9,2027-02-15
